Название угрозы;Частота (инциденты в месяц);Финансовые потери за инцидент (USD);Общие потери в месяц (USD);Механизмы защиты;Эффективность мер реагирования (%);Последствия;Вероятность угрозы (%);Время на устранение (часы);Источник угрозы;Количество инцидентов за год;Среднее время между инцидентами (дни);Количество пострадавших пользователей;Влияние на производительность (%);Среднее время простоя (часы);Стоимость восстановления (USD);Тип атаки;Уровень угрозы (низкий/средний/высокий);Используемые технологии защиты
Ransomware;200;5700;1140000;Антивирус, бэкап;85;Потеря данных;15;48;Внешний;2400;15;1500;40;24;200000;Шифрование данных;Высокий;Антивирусное ПО, бэкапы
Denial-of-Service (DoS);150;12000;1800000;DDoS защита, мониторинг;90;Простой системы;10;36;Внешний;1800;20;3000;60;12;500000;Сетевая атака;Высокий;DDoS защита, CDN
Phishing;800;250;200000;Обучение сотрудников;75;Утечка данных;20;12;Внешний;9600;3;5000;20;6;100000;Социальная инженерия;Средний;Фильтрация спама, обучение
Malware;411000;150;184650000;Антивирус;80;Повреждение системы;25;24;Внутренний;493200;0.07;20000;50;8;300000;Вредоносное ПО;Высокий;Антивирусное ПО
Adware;13000;50;195000;Антивирус;70;Низкая производительность;30;6;Внешний;156000;0.24;1000;10;4;50000;Вредоносное ПО;Низкий;Антивирусное ПО
SQL Injection;100;2500;250000;Web Application Firewall;70;Утечка данных;5;18;Внешний;1200;30;800;30;10;150000;Веб-атака;Средний;WAF, регулярные аудиты
Cross-Site Scripting (XSS);90;2000;180000;Content Security Policy, Input Validation;65;Кража данных;7;20;Внешний;1080;33;700;25;12;100000;Веб-атака;Средний;CSP, валидация ввода
Broken Authentication;75;4000;300000;Многофакторная аутентификация (MFA);85;Утечка данных;8;22;Внешний;900;40;600;30;14;200000;Атака на аутентификацию;Высокий;MFA, контроль доступа
Security Misconfiguration;120;3500;420000;Регулярные аудиты, автоматические сканеры;80;Утечка данных, эксплуатация уязвимостей;10;16;Внешний;1440;25;1000;35;10;250000;Веб-атака;Средний;Автоматические сканеры
Sensitive Data Exposure;110;4500;495000;Шифрование данных, контроль доступа;90;Утечка данных;12;20;Внешний;1320;27;1500;40;15;300000;Утечка данных;Высокий;Шифрование, контроль доступа
